code,name
炎洲,4306
同協,5460
泰聚亨-DR,911622
越峰,8121
高鋒,4510
哲固,3434
亞帝歐,3516
大略-KY,4804
元大滬深300反1,00638R
振維,3520
遠東銀,2845
精確,3162
如興,4414
中釉,1809
天宇,8171
沛亨,6291
群益深証中小,00643
達輝-KY,5276
國泰臺灣加權反1,00664R
台中銀,2812
振發,5426
大慶證,6021
凌泰,6198
統一實,9907
研勤,3632
金寶,2312
,
中華化,1727
海德威,3268
琉園,9949
新天地,8940
日勝生,2547
旭品,3325
國泰美國道瓊反1,00669R
新纖,1409
豐謙,5523
映泰,2399
三商壽,2867
白紗科,8401
聯昌,2431
台玻,1802
易飛網,2734
熒茂,4729
笙泉,3122
富邦NASDAQ反1,00671R
元大S&P500反1,00648R
陸海,5603
凱鈺,5468
無敵,8201
燦星網,4930
榮群,8034
易通展,6241
太設,2506
太子,2511
金麗-KY,8429
國泰日本反1,00659R
云辰,2390
高林,2906
麗臺,2465
志聯,2024
星雲,8047
訊達,6140
華東,8110
華豐,2109
國泰中國A50反1,00656R
國票金,2889
聯邦銀,2838
益航,2601
迎輝,3523
佳和,1449
阿瘦,8443
安瑞-KY,3664
鈺德,3050
擎亞,8096
歐格,3002
嘉鋼,2067
,
三商電,2427
台達化,1309
新美齊,2442
中電,1611
鄉林,5531
宏泰,1612
毛寶,1732
瑞軒,2489
聯成,1313
協易機,4533
佑華,8024
群益證,6005
南紡,1440
大亞,1609
台榮,1220
元大特股高息N,020008
昇華,4806
富強鑫,6603
元大台灣50反1,00632R
富邦深100,00639
驊宏資,6148
建達,6118
建國,5515
兆遠,4944
利華,1423
力麒,5512
雷虎,8033
康那香,9919
東森,2614
訊舟,3047
春源,2010
中環,2323
淇譽電,6247
德記,5902
圓剛,2417
新光金,2888
福裕,4513
迅杰,6243
上揚,6222
台火,9902
有益,9962
昶和,1468
嘉裕,1417
國泰美國道瓊+U,00668K
耿鼎,1524
彬台,3379
典範,3372
立益,1443
環泰,4207
地球,1324
,
士開,5324
高雄銀,2836
建通,2460
合邦,6103
宏洲,1413
華榮,1608
亞元,6109
台新MSCI中國正2,00766L
中鴻,2014
易威,1799
立碁,8111
中石化,1314
開發金,2883
磐亞,4707
日盛金,5820
弘裕,1474
吉祥全,2491
正達,3149
天良,4127
國泰日經225+U,00657K
新昕纖,4406
飛宏,2457
漢康,5205
力麗,1444
鈺創,5351
燁輝,2023
森寶,3489
福邦證,6026
致和證,5864
威致,2028
新鋼,2032
宏遠,1460
牧東,4950
佳大,2033
第一銅,2009
利奇,1517
華航,2610
欣厚-KY,4924
華紙,1905
寶徠,1805
憶聲,3024
宏易,4530
太空梭,2440
慧友,5484
建錩,5014
菱生,2369
精剛,1584
恩德,1528
宇環,3276
三晃,1721
,
合機,1618
康呈,6236
台開,2841
系統電,5309
邦泰,8935
FH香港反1,00651R
友達,2409
連展投控,3710
臺龍,6246
工信,5521
四維航,5608
南緯,1467
萬旭,6134
建舜電,3322
偉聯,9912
茂迪,6244
金橋,6133
普誠,6129
系通,5348
建暐,8092
聯上發,2537
光鼎,6226
大將,1453
和成,1810
矽統,2363
康和證,6016
得利影,6144
亞太電,3682
中纖,1718
一詮,2486
廣寰科,3287
昆盈,2365
集盛,1455
台富,1454
合世,1781
大東,1441
友勁,6142
麗正,2302
中工,2515
王道銀行,2897
商丞,8277
久正,6167
巨騰-DR,9136
李洲,3066
群創,3481
聚隆,1466
亞獅康-KY,6497
盛達,3027
幸福,1108
慶騰,4534
,
皇昌,2543
